id,item,vowel,language,f1_cent,f2_cent,tl,f1_20,f1_35,f1_50,f1_65,f1_80,f2_20,f2_35,f2_50,f2_65,f2_80
pdt,meet,i,en,396.39,2565.10,149.61,366.25,385.65,394.28,408.78,427.01,2493.15,2550.79,2577.57,2610.38,2593.59
pdt,beat,i,en,361.04,2595.07,201.17,338.00,338.72,354.62,372.28,401.60,2523.09,2595.37,2579.03,2648.20,2629.64
pdt,feet,i,en,421.59,2454.37,247.81,399.04,415.56,429.81,424.65,438.89,2388.44,2412.40,2463.30,2545.16,2462.54
pdt,seat,i,en,353.31,2513.87,136.55,343.50,344.07,348.46,355.81,374.68,2434.96,2510.60,2528.99,2550.11,2544.68
pdt,heat,i,en,408.21,2550.02,146.91,376.38,402.32,418.39,426.57,417.40,2537.09,2535.92,2586.25,2537.37,2553.49
pdt,fleet,i,en,379.44,2327.00,279.58,373.97,366.31,369.68,386.88,400.35,2164.83,2256.85,2352.54,2426.21,2434.55
pdt,moss,a,en,845.76,1254.25,479.37,760.91,817.92,838.59,929.53,881.84,1076.21,1131.69,1203.74,1363.40,1496.22
pdt,bot,a,en,871.66,1331.79,245.63,839.15,863.79,884.01,879.58,891.76,1304.46,1258.23,1275.63,1379.71,1440.90
pdt,fought,a,en,775.91,1256.44,400.76,731.13,764.14,810.25,781.54,792.47,1108.91,1185.76,1332.62,1277.32,1377.61
pdt,sought,a,en,710.24,1266.82,296.62,644.30,669.86,698.34,771.95,766.74,1371.21,1252.89,1217.97,1217.69,1274.35
pdt,caught,a,en,792.18,1302.20,210.42,791.55,799.34,802.89,792.64,774.46,1235.68,1268.31,1276.97,1290.15,1439.87
pdt,brought,a,en,774.87,1485.46,175.17,749.11,782.96,797.91,786.17,758.19,1468.33,1485.11,1447.12,1493.32,1533.43
pdt,moot,u,en,384.08,1230.53,109.44,362.77,364.83,381.88,395.10,415.80,1228.30,1261.44,1229.17,1215.68,1218.08
pdt,boot,u,en,343.75,1533.32,183.10,359.02,339.61,331.30,339.61,349.20,1452.62,1486.90,1539.02,1560.34,1627.71
pdt,food,u,en,337.44,1291.37,409.44,375.12,338.05,324.10,322.53,327.43,1426.86,1394.18,1175.65,1164.98,1295.15
pdt,soothe,u,en,330.13,1470.22,288.05,337.30,315.82,320.29,336.87,340.36,1535.94,1450.42,1405.75,1410.66,1548.31
pdt,cooed,u,en,322.20,1303.80,291.00,326.06,320.11,318.30,320.23,326.31,1323.83,1227.60,1233.24,1312.61,1421.70
pdt,dude,u,en,346.03,2032.28,350.84,346.38,345.41,350.73,358.93,328.69,2187.71,2102.69,2005.36,2010.64,1854.98
pdt,mis,i,sp,391.11,2487.86,147.79,359.27,369.27,396.71,409.42,420.88,2480.42,2497.00,2484.06,2518.89,2458.95
pdt,bis,i,sp,329.95,2469.83,146.55,329.98,344.09,323.24,318.78,333.63,2417.32,2465.52,2501.88,2472.41,2492.05
pdt,pis,i,sp,341.72,2388.72,110.70,334.11,324.42,333.57,347.52,368.97,2382.85,2382.50,2414.02,2405.78,2358.44
pdt,cito,i,sp,332.19,2305.57,54.76,356.56,337.72,327.17,320.04,319.49,2301.69,2316.45,2301.30,2301.60,2306.80
pdt,fito,i,sp,322.08,2371.33,104.44,341.33,328.09,318.90,312.68,309.39,2317.86,2353.77,2370.74,2397.66,2416.62
pdt,quito,i,sp,333.11,2379.24,69.80,319.50,325.99,335.94,341.91,342.18,2396.57,2407.48,2368.92,2367.12,2356.08
pdt,mas,a,sp,920.60,1460.59,212.24,886.72,923.71,941.83,931.25,919.49,1368.89,1403.84,1462.89,1507.40,1559.94
pdt,vas,a,sp,864.77,1488.81,169.10,849.48,878.64,856.99,871.10,867.63,1456.45,1432.49,1456.37,1545.01,1553.71
pdt,pasa,a,sp,881.16,1436.75,135.81,873.88,900.81,891.15,875.52,864.43,1440.97,1406.55,1411.20,1470.74,1454.28
pdt,sala,a,sp,792.85,1439.59,154.33,782.34,811.66,807.34,809.68,753.24,1416.98,1419.57,1424.90,1480.97,1455.50
pdt,fama,a,sp,869.03,1280.40,248.09,837.64,873.97,885.95,883.26,864.33,1247.20,1203.08,1268.84,1356.79,1326.06
pdt,cama,a,sp,884.59,1483.54,327.97,790.12,881.99,925.97,940.69,884.19,1549.53,1547.16,1524.40,1440.23,1356.39
pdt,musa,u,sp,399.50,867.97,357.19,451.15,405.84,374.92,379.61,385.98,751.83,767.96,837.26,912.61,1070.19
pdt,bulto,u,sp,365.23,852.49,255.06,393.87,354.03,352.17,359.34,366.76,753.71,783.20,812.86,924.71,987.97
pdt,puso,u,sp,350.16,850.22,256.39,397.29,334.89,314.07,342.68,361.87,800.61,786.81,811.83,887.67,964.18
pdt,supo,u,sp,450.64,1494.74,1799.69,513.57,562.24,469.19,375.04,333.16,2320.67,2321.39,915.38,847.24,1069.03
pdt,fumo,u,sp,571.53,1525.48,5841.46,322.27,783.92,515.31,669.29,566.88,825.67,2521.47,1116.25,2306.67,857.31
pdt,cura,u,sp,341.83,882.65,255.03,317.96,324.97,331.22,354.26,380.72,772.85,814.78,894.39,917.30,1013.91
